source_column,raw_value,python_normalized
customers.customer_city,bacabal,bacabal
customers.customer_city,bacaxa,bacaxa
customers.customer_city,bacuri,bacuri
customers.customer_city,bady bassitt,bady bassitt
customers.customer_city,baependi,baependi
customers.customer_city,bage,bage
customers.customer_city,baguari,baguari
customers.customer_city,baianopolis,baianopolis
customers.customer_city,baixa grande,baixa grande
customers.customer_city,baixa grande do ribeiro,baixa grande do ribeiro
customers.customer_city,baixo guandu,baixo guandu
customers.customer_city,balbinos,balbinos
customers.customer_city,baldim,baldim
customers.customer_city,balneario arroio do silva,balneario arroio do silva
customers.customer_city,balneario barra do sul,balneario barra do sul
customers.customer_city,balneario camboriu,balneario camboriu
customers.customer_city,balneario gaivota,balneario gaivota
customers.customer_city,balneario picarras,balneario picarras
customers.customer_city,balneario pinhal,balneario pinhal
customers.customer_city,balneario rincao,balneario rincao
customers.customer_city,balsa nova,balsa nova
customers.customer_city,balsamo,balsamo
customers.customer_city,balsas,balsas
customers.customer_city,bambui,bambui
customers.customer_city,banabuiu,banabuiu
customers.customer_city,bananal,bananal
customers.customer_city,bananeiras,bananeiras
customers.customer_city,bandeira,bandeira
customers.customer_city,bandeira do sul,bandeira do sul
customers.customer_city,bandeirantes,bandeirantes
customers.customer_city,bandeirantes d'oeste,bandeirantes d oeste
customers.customer_city,bandeirantes do tocantins,bandeirantes do tocantins
customers.customer_city,banzae,banzae
customers.customer_city,barao,barao
customers.customer_city,barao ataliba nogueira,barao ataliba nogueira
customers.customer_city,barao de cocais,barao de cocais
customers.customer_city,barao de cotegipe,barao de cotegipe
customers.customer_city,barao de juparana,barao de juparana
customers.customer_city,barao do triunfo,barao do triunfo
customers.customer_city,barauna,barauna
customers.customer_city,barbacena,barbacena
customers.customer_city,barbalha,barbalha
customers.customer_city,barbosa ferraz,barbosa ferraz
customers.customer_city,barcarena,barcarena
customers.customer_city,bariri,bariri
customers.customer_city,barra,barra
customers.customer_city,barra bonita,barra bonita
customers.customer_city,barra da estiva,barra da estiva
customers.customer_city,barra de guabiraba,barra de guabiraba
customers.customer_city,barra de santa rosa,barra de santa rosa
customers.customer_city,barra de santo antonio,barra de santo antonio
customers.customer_city,barra de sao francisco,barra de sao francisco
customers.customer_city,barra de sao joao,barra de sao joao
customers.customer_city,barra de sao miguel,barra de sao miguel
customers.customer_city,barra do bugres,barra do bugres
customers.customer_city,barra do choca,barra do choca
customers.customer_city,barra do corda,barra do corda
customers.customer_city,barra do garcas,barra do garcas
customers.customer_city,barra do jacare,barra do jacare
customers.customer_city,barra do mendes,barra do mendes
customers.customer_city,barra do pirai,barra do pirai
customers.customer_city,barra do ribeiro,barra do ribeiro
customers.customer_city,barra do rio azul,barra do rio azul
customers.customer_city,barra do tarrachil,barra do tarrachil
customers.customer_city,barra do turvo,barra do turvo
customers.customer_city,barra dos coqueiros,barra dos coqueiros
customers.customer_city,barra longa,barra longa
customers.customer_city,barra mansa,barra mansa
customers.customer_city,barra velha,barra velha
customers.customer_city,barracao,barracao
customers.customer_city,barras,barras
customers.customer_city,barreira,barreira
customers.customer_city,barreiras,barreiras
customers.customer_city,barreirinhas,barreirinhas
customers.customer_city,barreiros,barreiros
customers.customer_city,barretos,barretos
customers.customer_city,barrinha,barrinha
customers.customer_city,barro,barro
customers.customer_city,barro alto,barro alto
customers.customer_city,barro preto,barro preto
customers.customer_city,barrocas,barrocas
customers.customer_city,barrolandia,barrolandia
customers.customer_city,barros cassal,barros cassal
customers.customer_city,barroso,barroso
customers.customer_city,barueri,barueri
customers.customer_city,bastos,bastos
customers.customer_city,bataguassu,bataguassu
customers.customer_city,bataipora,bataipora
customers.customer_city,batalha,batalha
customers.customer_city,batatais,batatais
customers.customer_city,bataypora,bataypora
customers.customer_city,baturite,baturite
customers.customer_city,bauru,bauru
customers.customer_city,bayeux,bayeux
customers.customer_city,bebedouro,bebedouro
customers.customer_city,beberibe,beberibe
customers.customer_city,bela cruz,bela cruz
customers.customer_city,bela vista,bela vista
customers.customer_city,bela vista de goias,bela vista de goias
customers.customer_city,bela vista de minas,bela vista de minas
customers.customer_city,bela vista do maranhao,bela vista do maranhao
customers.customer_city,bela vista do paraiso,bela vista do paraiso
customers.customer_city,belem,belem
customers.customer_city,belem do sao francisco,belem do sao francisco
customers.customer_city,belford roxo,belford roxo
customers.customer_city,belmonte,belmonte
customers.customer_city,belo campo,belo campo
customers.customer_city,belo horizonte,belo horizonte
customers.customer_city,belo jardim,belo jardim
customers.customer_city,belo oriente,belo oriente
customers.customer_city,belo vale,belo vale
customers.customer_city,bemposta,bemposta
customers.customer_city,benedito leite,benedito leite
customers.customer_city,benedito novo,benedito novo
customers.customer_city,benevides,benevides
customers.customer_city,bento de abreu,bento de abreu
customers.customer_city,bento goncalves,bento goncalves
customers.customer_city,bequimao,bequimao
customers.customer_city,berilo,berilo
customers.customer_city,berizal,berizal
customers.customer_city,bernardino de campos,bernardino de campos
customers.customer_city,bertioga,bertioga
customers.customer_city,bertolinia,bertolinia
customers.customer_city,bertopolis,bertopolis
customers.customer_city,betim,betim
customers.customer_city,bezerros,bezerros
customers.customer_city,bias fortes,bias fortes
customers.customer_city,bicas,bicas
customers.customer_city,biguacu,biguacu
customers.customer_city,bilac,bilac
customers.customer_city,birigui,birigui
customers.customer_city,biritiba-mirim,biritiba mirim
customers.customer_city,biritinga,biritinga
customers.customer_city,bituruna,bituruna
customers.customer_city,blumenau,blumenau
customers.customer_city,boa esperanca,boa esperanca
customers.customer_city,boa esperanca do iguacu,boa esperanca do iguacu
customers.customer_city,boa esperanca do sul,boa esperanca do sul
customers.customer_city,boa ventura,boa ventura
customers.customer_city,boa viagem,boa viagem
customers.customer_city,boa vista,boa vista
customers.customer_city,boa vista da aparecida,boa vista da aparecida
customers.customer_city,boa vista das missoes,boa vista das missoes
customers.customer_city,boa vista do burica,boa vista do burica
customers.customer_city,boa vista do cadeado,boa vista do cadeado
customers.customer_city,boa vista do gurupi,boa vista do gurupi
customers.customer_city,boa vista do sul,boa vista do sul
customers.customer_city,boca da mata,boca da mata
customers.customer_city,bocaina,bocaina
customers.customer_city,bocaiuva,bocaiuva
customers.customer_city,bocaiuva do sul,bocaiuva do sul
customers.customer_city,bodo,bodo
customers.customer_city,bodoco,bodoco
customers.customer_city,bodoquena,bodoquena
customers.customer_city,bofete,bofete
customers.customer_city,boituva,boituva
customers.customer_city,bom conselho,bom conselho
customers.customer_city,bom despacho,bom despacho
customers.customer_city,bom jardim,bom jardim
customers.customer_city,bom jardim de goias,bom jardim de goias
customers.customer_city,bom jardim de minas,bom jardim de minas
customers.customer_city,bom jesus,bom jesus
customers.customer_city,bom jesus da lapa,bom jesus da lapa
customers.customer_city,bom jesus da penha,bom jesus da penha
customers.customer_city,bom jesus da serra,bom jesus da serra
customers.customer_city,bom jesus das selvas,bom jesus das selvas
customers.customer_city,bom jesus do amparo,bom jesus do amparo
customers.customer_city,bom jesus do araguaia,bom jesus do araguaia
customers.customer_city,bom jesus do galho,bom jesus do galho
customers.customer_city,bom jesus do itabapoana,bom jesus do itabapoana
customers.customer_city,bom jesus do norte,bom jesus do norte
customers.customer_city,bom jesus do querendo,bom jesus do querendo
customers.customer_city,bom jesus do sul,bom jesus do sul
customers.customer_city,bom jesus do tocantins,bom jesus do tocantins
customers.customer_city,bom jesus dos perdoes,bom jesus dos perdoes
customers.customer_city,bom principio,bom principio
customers.customer_city,bom repouso,bom repouso
customers.customer_city,bom retiro,bom retiro
customers.customer_city,bom retiro do sul,bom retiro do sul
customers.customer_city,bom sucesso,bom sucesso
customers.customer_city,bombinhas,bombinhas
customers.customer_city,bonfim,bonfim
customers.customer_city,bonfim paulista,bonfim paulista
customers.customer_city,bonfinopolis,bonfinopolis
customers.customer_city,bonfinopolis de minas,bonfinopolis de minas
customers.customer_city,boninal,boninal
customers.customer_city,bonito,bonito
customers.customer_city,bonito de minas,bonito de minas
customers.customer_city,bonito de santa fe,bonito de santa fe
customers.customer_city,boqueirao do leao,boqueirao do leao
customers.customer_city,boquim,boquim
customers.customer_city,boquira,boquira
customers.customer_city,bora,bora
customers.customer_city,boraceia,boraceia
customers.customer_city,borborema,borborema
customers.customer_city,borda da mata,borda da mata
customers.customer_city,borrazopolis,borrazopolis
customers.customer_city,bossoroca,bossoroca
customers.customer_city,botelho,botelho
customers.customer_city,botelhos,botelhos
customers.customer_city,botucatu,botucatu
customers.customer_city,botupora,botupora
customers.customer_city,botuvera,botuvera
customers.customer_city,braco do norte,braco do norte
customers.customer_city,braco do rio,braco do rio
customers.customer_city,braganca,braganca
customers.customer_city,braganca paulista,braganca paulista
customers.customer_city,bras pires,bras pires
customers.customer_city,brasil novo,brasil novo
customers.customer_city,brasilandia,brasilandia
customers.customer_city,brasilandia de minas,brasilandia de minas
customers.customer_city,brasileia,brasileia
customers.customer_city,brasilia,brasilia
customers.customer_city,brasilia de minas,brasilia de minas
customers.customer_city,brasopolis,brasopolis
customers.customer_city,brauna,brauna
customers.customer_city,braunas,braunas
customers.customer_city,brazabrantes,brazabrantes
customers.customer_city,brazopolis,brazopolis
customers.customer_city,brejetuba,brejetuba
customers.customer_city,brejo,brejo
customers.customer_city,brejo bonito,brejo bonito
customers.customer_city,brejo da madre de deus,brejo da madre de deus
customers.customer_city,brejo do cruz,brejo do cruz
customers.customer_city,brejo dos santos,brejo dos santos
customers.customer_city,brejo grande,brejo grande
customers.customer_city,brejo santo,brejo santo
customers.customer_city,brejoes,brejoes
customers.customer_city,brejolandia,brejolandia
customers.customer_city,breu branco,breu branco
customers.customer_city,breves,breves
customers.customer_city,britania,britania
customers.customer_city,brodowski,brodowski
customers.customer_city,brotas,brotas
customers.customer_city,brotas de macaubas,brotas de macaubas
customers.customer_city,brumadinho,brumadinho
customers.customer_city,brumado,brumado
customers.customer_city,brusque,brusque
customers.customer_city,bueno brandao,bueno brandao
customers.customer_city,buenopolis,buenopolis
customers.customer_city,buenos aires,buenos aires
customers.customer_city,buerarema,buerarema
customers.customer_city,bugre,bugre
customers.customer_city,buique,buique
customers.customer_city,buri,buri
customers.customer_city,buritama,buritama
customers.customer_city,buriti,buriti
customers.customer_city,buriti alegre,buriti alegre
customers.customer_city,buriti do tocantins,buriti do tocantins
customers.customer_city,buriti dos lopes,buriti dos lopes
customers.customer_city,buriticupu,buriticupu
customers.customer_city,buritirama,buritirama
customers.customer_city,buritis,buritis
customers.customer_city,buritizal,buritizal
customers.customer_city,buritizeiro,buritizeiro
customers.customer_city,butia,butia
customers.customer_city,caarapo,caarapo
customers.customer_city,cabaceiras do paraguacu,cabaceiras do paraguacu
customers.customer_city,cabeceira grande,cabeceira grande
customers.customer_city,cabeceiras,cabeceiras
customers.customer_city,cabedelo,cabedelo
customers.customer_city,cabixi,cabixi
customers.customer_city,cabo de santo agostinho,cabo de santo agostinho
customers.customer_city,cabo frio,cabo frio
customers.customer_city,cabo verde,cabo verde
customers.customer_city,cabralia paulista,cabralia paulista
customers.customer_city,cabreuva,cabreuva
customers.customer_city,cabrobo,cabrobo
customers.customer_city,cacador,cacador
customers.customer_city,cacapava,cacapava
customers.customer_city,cacapava do sul,cacapava do sul
customers.customer_city,cacaulandia,cacaulandia
customers.customer_city,cacequi,cacequi
customers.customer_city,caceres,caceres
customers.customer_city,cachoeira,cachoeira
customers.customer_city,cachoeira alta,cachoeira alta
customers.customer_city,cachoeira da prata,cachoeira da prata
customers.customer_city,cachoeira de minas,cachoeira de minas
customers.customer_city,cachoeira de pajeu,cachoeira de pajeu
customers.customer_city,cachoeira do brumado,cachoeira do brumado
customers.customer_city,cachoeira do campo,cachoeira do campo
customers.customer_city,cachoeira do sul,cachoeira do sul
customers.customer_city,cachoeira dourada,cachoeira dourada
customers.customer_city,cachoeira paulista,cachoeira paulista
customers.customer_city,cachoeiras de macacu,cachoeiras de macacu
customers.customer_city,cachoeirinha,cachoeirinha
customers.customer_city,cachoeiro de itapemirim,cachoeiro de itapemirim
customers.customer_city,cacimbinhas,cacimbinhas
customers.customer_city,cacoal,cacoal
customers.customer_city,caconde,caconde
customers.customer_city,cacu,cacu
customers.customer_city,cacule,cacule
customers.customer_city,caem,caem
customers.customer_city,caetanopolis,caetanopolis
customers.customer_city,caetanos,caetanos
customers.customer_city,caete,caete
customers.customer_city,caetes,caetes
customers.customer_city,caetite,caetite
customers.customer_city,cafeara,cafeara
customers.customer_city,cafelandia,cafelandia
customers.customer_city,caiana,caiana
customers.customer_city,caiaponia,caiaponia
customers.customer_city,caibate,caibate
customers.customer_city,caibi,caibi
customers.customer_city,caicara do norte,caicara do norte
customers.customer_city,caico,caico
customers.customer_city,caieiras,caieiras
customers.customer_city,cairu,cairu
customers.customer_city,caiua,caiua
customers.customer_city,cajamar,cajamar
customers.customer_city,cajapio,cajapio
customers.customer_city,cajari,cajari
customers.customer_city,cajati,cajati
customers.customer_city,cajazeiras,cajazeiras
customers.customer_city,cajobi,cajobi
customers.customer_city,cajueiro,cajueiro
customers.customer_city,cajuri,cajuri
customers.customer_city,cajuru,cajuru
customers.customer_city,calcado,calcado
customers.customer_city,caldas,caldas
customers.customer_city,caldas brandao,caldas brandao
customers.customer_city,caldas do jorro,caldas do jorro
customers.customer_city,caldas novas,caldas novas
customers.customer_city,caldeirao grande,caldeirao grande
customers.customer_city,caldeirao grande do piaui,caldeirao grande do piaui
customers.customer_city,california,california
customers.customer_city,california da barra,california da barra
customers.customer_city,calmon,calmon
customers.customer_city,camacan,camacan
customers.customer_city,camacari,camacari
customers.customer_city,camacho,camacho
customers.customer_city,camamu,camamu
customers.customer_city,camanducaia,camanducaia
customers.customer_city,camapua,camapua
customers.customer_city,camaqua,camaqua
customers.customer_city,camaragibe,camaragibe
customers.customer_city,cambara,cambara
customers.customer_city,cambara do sul,cambara do sul
customers.customer_city,cambe,cambe
customers.customer_city,cambiasca,cambiasca
customers.customer_city,cambira,cambira
customers.customer_city,camboriu,camboriu
customers.customer_city,cambuci,cambuci
customers.customer_city,cambui,cambui
customers.customer_city,cambuquira,cambuquira
customers.customer_city,cameta,cameta
customers.customer_city,camocim,camocim
customers.customer_city,camocim de sao felix,camocim de sao felix
customers.customer_city,campanario,campanario
customers.customer_city,campanha,campanha
customers.customer_city,campestre,campestre
customers.customer_city,campestre da serra,campestre da serra
customers.customer_city,campestre do maranhao,campestre do maranhao
customers.customer_city,campina da lagoa,campina da lagoa
customers.customer_city,campina das missoes,campina das missoes
